0,0,0,0
0,0,1,-1.0*(a**2 + r**2)*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)/((a**2*cos(theta)**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
0,0,2,0
0,0,3,-2.0*a**2*(2*M*r - Q_e**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**2
0,1,0,-1.0*(a**2 + r**2)*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)/((a**2*cos(theta)**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
0,1,1,0
0,1,2,1.0*a*(-M*a**4*sin(theta)**2 + M*a**4 + M*a**2*r**2*sin(theta)**2 - 2*M*a**2*r**2 - 3*M*r**4 - Q_e**2*a**2*r*sin(theta)**2 + 2*Q_e**2*a**2*r + 2*Q_e**2*r**3)*sin(theta)**2/((-a**2*sin(theta)**2 + a**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
0,1,3,0
0,2,0,0
0,2,1,1.0*a*(-M*a**4*sin(theta)**2 + M*a**4 + M*a**2*r**2*sin(theta)**2 - 2*M*a**2*r**2 - 3*M*r**4 - Q_e**2*a**2*r*sin(theta)**2 + 2*Q_e**2*a**2*r + 2*Q_e**2*r**3)*sin(theta)**2/((-a**2*sin(theta)**2 + a**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
0,2,2,0
0,2,3,1.0*a**3*(2*M*r - Q_e**2)*sin(theta)**3*cos(theta)/(-a**2*sin(theta)**2 + a**2 + r**2)**2
0,3,0,-2.0*a**2*(2*M*r - Q_e**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**2
0,3,1,0
0,3,2,1.0*a**3*(2*M*r - Q_e**2)*sin(theta)**3*cos(theta)/(-a**2*sin(theta)**2 + a**2 + r**2)**2
0,3,3,0
1,0,0,(2.0*M*r - 1.0*a**2 - 1.0*r**2)*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)/(a**2*cos(theta)**2 + r**2)**3
1,0,1,0
1,0,2,1.0*a*(-2*M*r + a**2 + r**2)*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)*sin(theta)**2/(a**2*cos(theta)**2 + r**2)**3
1,0,3,0
1,1,0,0
1,1,1,(1.0*r*(-2*M*r + a**2 + r**2) + (M - r)*(a**2*cos(theta)**2 + r**2))/((a**2*cos(theta)**2 + r**2)*(-2*M*r + a**2 + r**2))
1,1,2,0
1,1,3,-1.0*a**2*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)
1,2,0,1.0*a*(-2*M*r + a**2 + r**2)*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)*sin(theta)**2/(a**2*cos(theta)**2 + r**2)**3
1,2,1,0
1,2,2,(2.0*M*r - 1.0*a**2 - 1.0*r**2)*(M*a**2*(a**2*cos(theta)**2 + r**2)*sin(theta)**2 - a**2*r*(2*M*r - Q_e**2)*sin(theta)**2 + r*(a**2*cos(theta)**2 + r**2)**2)*sin(theta)**2/(a**2*cos(theta)**2 + r**2)**3
1,2,3,0
1,3,0,0
1,3,1,-1.0*a**2*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)
1,3,2,0
1,3,3,-1.0*r*(-2*M*r + a**2 + r**2)/(a**2*cos(theta)**2 + r**2)
2,0,0,0
2,0,1,-1.0*a*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)/((a**2*cos(theta)**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
2,0,2,0
2,0,3,-1.0*a*(2*M*r - Q_e**2)/((a**2*cos(theta)**2 + r**2)**2*tan(theta))
2,1,0,-1.0*a*(M*a**2*cos(theta)**2 - M*r**2 + Q_e**2*r)/((a**2*cos(theta)**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
2,1,1,0
2,1,2,1.0*(-M*a**4*(1 - cos(theta)**2)**2 - M*a**4*cos(theta)**2 + M*a**4 - M*a**2*r**2*cos(theta)**2 - M*a**2*r**2 - 2*M*r**4 + Q_e**2*a**2*r + Q_e**2*r**3 + a**4*r*(1 - cos(theta)**2)**2 + 2*a**4*r*cos(theta)**2 - a**4*r + 2*a**2*r**3*cos(theta)**2 + r**5)/((a**2*cos(theta)**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
2,1,3,0
2,2,0,0
2,2,1,1.0*(-M*a**4*(1 - cos(theta)**2)**2 - M*a**4*cos(theta)**2 + M*a**4 - M*a**2*r**2*cos(theta)**2 - M*a**2*r**2 - 2*M*r**4 + Q_e**2*a**2*r + Q_e**2*r**3 + a**4*r*(1 - cos(theta)**2)**2 + 2*a**4*r*cos(theta)**2 - a**4*r + 2*a**2*r**3*cos(theta)**2 + r**5)/((a**2*cos(theta)**2 + r**2)**2*(-2*M*r + Q_e**2 + a**2 + r**2))
2,2,2,0
2,2,3,(1.0*a**2*(a**2 + r**2)*(2*M*r - Q_e**2)**2*sin(theta)**2 - 1.0*(a**2*(a**2 + r**2)*(2*M*r - Q_e**2)*sin(theta)**2 + (a**2*cos(theta)**2 + r**2)*(a**2*(2*M*r - Q_e**2)*sin(theta)**2 + (a**2 + r**2)*(a**2*cos(theta)**2 + r**2)))*(2*M*r - Q_e**2 - a**2*cos(theta)**2 - r**2))/((a**2*cos(theta)**2 + r**2)**3*(-2*M*r + Q_e**2 + a**2 + r**2)*tan(theta))
2,3,0,-1.0*a*(2*M*r - Q_e**2)/((a**2*cos(theta)**2 + r**2)**2*tan(theta))
2,3,1,0
2,3,2,(1.0*a**2*(a**2 + r**2)*(2*M*r - Q_e**2)**2*sin(theta)**2 - 1.0*(a**2*(a**2 + r**2)*(2*M*r - Q_e**2)*sin(theta)**2 + (a**2*cos(theta)**2 + r**2)*(a**2*(2*M*r - Q_e**2)*sin(theta)**2 + (a**2 + r**2)*(a**2*cos(theta)**2 + r**2)))*(2*M*r - Q_e**2 - a**2*cos(theta)**2 - r**2))/((a**2*cos(theta)**2 + r**2)**3*(-2*M*r + Q_e**2 + a**2 + r**2)*tan(theta))
2,3,3,0
3,0,0,-4.0*a**2*(2*M*r - Q_e**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**3
3,0,1,0
3,0,2,4.0*a*(a**2 + r**2)*(2*M*r - Q_e**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**3
3,0,3,0
3,1,0,0
3,1,1,1.0*a**2*sin(2*theta)/((-2*M*r + a**2 + r**2)*(a**2*cos(2*theta) + a**2 + 2*r**2))
3,1,2,0
3,1,3,1.0*r/(a**2*cos(theta)**2 + r**2)
3,2,0,4.0*a*(a**2 + r**2)*(2*M*r - Q_e**2)*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)**3
3,2,1,0
3,2,2,1.0*(-a**2*(a**2 + r**2)*(2*M*r - Q_e**2)*sin(theta)**2 - (a**2*cos(theta)**2 + r**2)*(a**2*(2*M*r - Q_e**2)*sin(theta)**2 + (a**2 + r**2)*(a**2*cos(theta)**2 + r**2)))*sin(theta)*cos(theta)/(a**2*cos(theta)**2 + r**2)**3
3,2,3,0
3,3,0,0
3,3,1,1.0*r/(a**2*cos(theta)**2 + r**2)
3,3,2,0
3,3,3,-1.0*a**2*sin(2*theta)/(a**2*cos(2*theta) + a**2 + 2*r**2)
